locus_tag	ftype	length_bp	gene	EC_number	COG	product
AJBIFGEO_00063	CDS	105				hypothetical protein
AJBIFGEO_00064	CDS	171				hypothetical protein
AJBIFGEO_00065	CDS	132				hypothetical protein
AJBIFGEO_00066	CDS	138				hypothetical protein
AJBIFGEO_00067	CDS	147				hypothetical protein
AJBIFGEO_00068	CDS	99				hypothetical protein
AJBIFGEO_00069	CDS	135				hypothetical protein
AJBIFGEO_00070	CDS	123				hypothetical protein
AJBIFGEO_00071	CDS	162				hypothetical protein
AJBIFGEO_00072	CDS	165				putative protein
AJBIFGEO_00073	CDS	171				hypothetical protein
AJBIFGEO_00074	CDS	93				hypothetical protein
AJBIFGEO_00075	CDS	168				hypothetical protein
AJBIFGEO_00076	CDS	93				hypothetical protein
AJBIFGEO_00077	CDS	159				hypothetical protein
AJBIFGEO_00078	CDS	165	tam	2.1.1.144	COG4106	putative trans-aconitate 2-methyltransferase
AJBIFGEO_00079	CDS	135				hypothetical protein
AJBIFGEO_00080	CDS	141				hypothetical protein
AJBIFGEO_00081	CDS	723				hypothetical protein
AJBIFGEO_00082	CDS	1533	bauC	1.2.1.-	COG1012	Putative 3-oxopropanoate dehydrogenase
AJBIFGEO_00083	CDS	1173	acdA_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
AJBIFGEO_00084	CDS	885	mmsB_1	1.1.1.31	COG2084	putative 3-hydroxyisobutyrate dehydrogenase
AJBIFGEO_00085	CDS	270				putative protein
AJBIFGEO_00086	CDS	138				hypothetical protein
AJBIFGEO_00087	CDS	429		3.1.-.-	COG1848	Ribonuclease VapC31
AJBIFGEO_00088	CDS	258				Antitoxin VapB31
AJBIFGEO_00089	CDS	195				hypothetical protein
AJBIFGEO_00090	CDS	195				hypothetical protein
AJBIFGEO_00091	CDS	381				hypothetical protein
AJBIFGEO_00092	CDS	408				hypothetical protein
AJBIFGEO_00093	CDS	276				hypothetical protein
AJBIFGEO_00094	CDS	204				hypothetical protein
AJBIFGEO_00095	CDS	615				hypothetical protein
AJBIFGEO_00096	CDS	1836	ppsB	2.3.1.41		Phthiocerol/phenolphthiocerol synthesis polyketide synthase type I PpsB
AJBIFGEO_00097	CDS	609				hypothetical protein
AJBIFGEO_00098	CDS	2397		3.6.3.-	COG0842	ABC transporter ATP-binding/permease protein
AJBIFGEO_00099	CDS	213				hypothetical protein
AJBIFGEO_00100	CDS	153				hypothetical protein
AJBIFGEO_00101	CDS	435				hypothetical protein
AJBIFGEO_00102	CDS	228				hypothetical protein
AJBIFGEO_00103	CDS	147				hypothetical protein
AJBIFGEO_00104	CDS	1512				hypothetical protein
AJBIFGEO_00105	CDS	1545	plcA_1	3.1.4.3	COG3511	Phospholipase C 1
AJBIFGEO_00106	CDS	1146	pimC	2.4.1.-		GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol dimannoside mannosyltransferase
AJBIFGEO_00107	CDS	1104	msrP	1.8.5.-		Protein-methionine-sulfoxide reductase catalytic subunit MsrP
AJBIFGEO_00108	CDS	2838	mmpL5_1		COG2409	Siderophore exporter MmpL5
AJBIFGEO_00109	CDS	657		3.1.1.74		putative cutinase
AJBIFGEO_00110	CDS	519				hypothetical protein
AJBIFGEO_00111	CDS	132				hypothetical protein
AJBIFGEO_00112	CDS	1833	eccA5		COG0464	ESX-5 secretion system protein EccA5
AJBIFGEO_00113	CDS	1221	eccE5			ESX-5 secretion system protein EccE5
AJBIFGEO_00114	CDS	1758	mycP5	3.4.21.-	COG1404	Mycosin-5
AJBIFGEO_00115	CDS	1512	eccD5			ESX-5 secretion system protein EccD5
AJBIFGEO_00116	CDS	903	espG5			ESX-5 secretion-associated protein EspG5
AJBIFGEO_00117	CDS	1410	rodA		COG0772	putative FtsW-like protein
AJBIFGEO_00118	CDS	1476	pbpA		COG0768	Penicillin-binding protein A
AJBIFGEO_00119	CDS	279				hypothetical protein
AJBIFGEO_00120	CDS	513				hypothetical protein
AJBIFGEO_00121	CDS	1209				hypothetical protein
AJBIFGEO_00122	CDS	408				hypothetical protein
AJBIFGEO_00123	CDS	393	yccF		COG3304	Inner membrane protein YccF
AJBIFGEO_00124	CDS	1083	moaA2	4.1.99.22	COG2896	GTP 3',8-cyclase 2
AJBIFGEO_00125	CDS	279				hypothetical protein
AJBIFGEO_00126	CDS	483	espB			ESX-1 secretion-associated protein EspB
AJBIFGEO_00127	CDS	348	espL			ESX-1 secretion-associated protein EspL
AJBIFGEO_00128	CDS	288				hypothetical protein
AJBIFGEO_00129	CDS	225				hypothetical protein
AJBIFGEO_00130	CDS	303				hypothetical protein
AJBIFGEO_00131	CDS	588			COG1399	putative protein
AJBIFGEO_00132	CDS	738			COG3599	putative protein
AJBIFGEO_00133	CDS	768	tesA	3.1.2.-	COG3208	putative thioesterase TesA
AJBIFGEO_00134	CDS	1752		6.2.1.-		Long-chain-fatty-acid--AMP ligase FadD26
AJBIFGEO_00135	CDS	705				hypothetical protein
AJBIFGEO_00136	CDS	666				hypothetical protein
AJBIFGEO_00137	CDS	150				hypothetical protein
AJBIFGEO_00138	CDS	204				hypothetical protein
AJBIFGEO_00139	CDS	1104	mnmA	2.8.1.13	COG0482	tRNA-specific 2-thiouridylase MnmA
AJBIFGEO_00140	CDS	999	iscS	2.8.1.7	COG1104	IscS-like cysteine desulfurase
AJBIFGEO_00141	CDS	1581				putative PPE family protein PPE40
AJBIFGEO_00142	CDS	1269				putative PPE family protein PPE38
AJBIFGEO_00143	CDS	174				hypothetical protein
AJBIFGEO_00144	CDS	1539	plcA_2	3.1.4.3	COG3511	Phospholipase C 1
AJBIFGEO_00145	CDS	1566	plcB	3.1.4.3	COG3511	Phospholipase C 2
AJBIFGEO_00146	CDS	1554	plcC	3.1.4.3	COG3511	Phospholipase C 3
AJBIFGEO_00147	CDS	327				hypothetical protein
AJBIFGEO_00148	CDS	675	pdxH	1.4.3.5	COG0259	Pyridoxine 5'-phosphate oxidase
AJBIFGEO_00149	CDS	1743				putative PPE family protein PPE42
AJBIFGEO_00150	CDS	1056				hypothetical protein
AJBIFGEO_00151	CDS	1137	pimA	2.4.1.345	COG0438	Phosphatidyl-myo-inositol mannosyltransferase
AJBIFGEO_00152	CDS	951		2.3.1.265	COG1560	Phosphatidylinositol mannoside acyltransferase
AJBIFGEO_00153	CDS	654	pgsA1	2.7.8.-	COG0558	Phosphatidylinositol phosphate synthase
AJBIFGEO_00154	CDS	588		2.7.7.53	COG0537	AP-4-A phosphorylase
AJBIFGEO_00155	CDS	2079	thrS	6.1.1.3	COG0441	Threonine--tRNA ligase
AJBIFGEO_00156	CDS	459				hypothetical protein
AJBIFGEO_00157	CDS	258				hypothetical protein
AJBIFGEO_00158	CDS	1983				PPE family protein PPE34
AJBIFGEO_00159	CDS	468				hypothetical protein
AJBIFGEO_00160	CDS	1338				hypothetical protein
AJBIFGEO_00161	CDS	807				hypothetical protein
AJBIFGEO_00162	CDS	1602				hypothetical protein
AJBIFGEO_00163	CDS	699	orn	3.1.-.-	COG1949	Oligoribonuclease
AJBIFGEO_00164	tRNA	76				tRNA-His(gtg)
AJBIFGEO_00165	CDS	462				IS256 family transposase IS1081
AJBIFGEO_00166	CDS	183				hypothetical protein
AJBIFGEO_00167	CDS	552	espH_1			ESX-1 secretion-associated protein EspH
AJBIFGEO_00168	CDS	852	espG1			ESX-1 secretion-associated protein EspG1
AJBIFGEO_00169	CDS	312	espF			ESX-1 secretion-associated protein EspF
AJBIFGEO_00170	CDS	453	espE			ESX-1 secretion-associated protein EspE
AJBIFGEO_00171	CDS	624	moaA_1			GTP 3',8-cyclase
AJBIFGEO_00172	CDS	1146	embR_1		COG1716	Transcriptional regulatory protein EmbR
AJBIFGEO_00173	CDS	351				hypothetical protein
AJBIFGEO_00174	CDS	414				hypothetical protein
AJBIFGEO_00175	CDS	645				hypothetical protein
AJBIFGEO_00176	CDS	348				putative protein
AJBIFGEO_00177	CDS	621				hypothetical protein
AJBIFGEO_00178	CDS	1053				hypothetical protein
AJBIFGEO_00179	CDS	210				hypothetical protein
AJBIFGEO_00180	CDS	186				hypothetical protein
AJBIFGEO_00181	CDS	1185				hypothetical protein
AJBIFGEO_00182	tRNA	77				tRNA-Met(cat)
AJBIFGEO_00183	CDS	465				hypothetical protein
AJBIFGEO_00184	CDS	156				hypothetical protein
AJBIFGEO_00185	CDS	1092				hypothetical protein
AJBIFGEO_00186	CDS	288			COG0664	putative ABC transporter ATP-binding protein
AJBIFGEO_00187	CDS	168				hypothetical protein
AJBIFGEO_00188	CDS	1071	hutI_1	3.5.2.7		Imidazolonepropionase
AJBIFGEO_00189	CDS	1173	metC	4.4.1.13	COG1168	Cystathionine beta-lyase
AJBIFGEO_00190	CDS	2919				putative membrane protein
AJBIFGEO_00191	CDS	1494		2.3.1.20		Putative diacyglycerol O-acyltransferase
AJBIFGEO_00192	CDS	690				hypothetical protein
AJBIFGEO_00193	CDS	606				hypothetical protein
AJBIFGEO_00194	CDS	663				hypothetical protein
AJBIFGEO_00195	CDS	1539	lcpA_1		COG1316	Cell wall biosynthesis protein LcpA
AJBIFGEO_00196	CDS	945				hypothetical protein
AJBIFGEO_00197	CDS	492			COG2259	putative membrane protein
AJBIFGEO_00198	CDS	1122	aes_1	3.1.1.-		Acetyl esterase
AJBIFGEO_00199	CDS	324			COG1695	Transcriptional regulator
AJBIFGEO_00200	CDS	165				hypothetical protein
AJBIFGEO_00201	CDS	1503	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
AJBIFGEO_00202	CDS	579				hypothetical protein
AJBIFGEO_00203	CDS	483				hypothetical protein
AJBIFGEO_00204	CDS	729				hypothetical protein
AJBIFGEO_00205	CDS	1695				hypothetical protein
AJBIFGEO_00206	CDS	1155	lprN_1			Lipoprotein LprN
AJBIFGEO_00207	CDS	1353				hypothetical protein
AJBIFGEO_00208	CDS	1074				hypothetical protein
AJBIFGEO_00209	CDS	1053				hypothetical protein
AJBIFGEO_00210	CDS	1203				hypothetical protein
AJBIFGEO_00211	CDS	843				hypothetical protein
AJBIFGEO_00212	CDS	318				hypothetical protein
AJBIFGEO_00213	CDS	240				hypothetical protein
AJBIFGEO_00214	tRNA	100				tRNA-His(gtg)
AJBIFGEO_00215	CDS	279				hypothetical protein
AJBIFGEO_00216	CDS	162				hypothetical protein
AJBIFGEO_00217	CDS	336				hypothetical protein
AJBIFGEO_00218	CDS	441				hypothetical protein
AJBIFGEO_00219	CDS	729				hypothetical protein
AJBIFGEO_00220	CDS	354				hypothetical protein
AJBIFGEO_00221	CDS	426				hypothetical protein
AJBIFGEO_00222	CDS	675				hypothetical protein
AJBIFGEO_00223	CDS	822				hypothetical protein
AJBIFGEO_00224	CDS	894			COG0589	Universal stress protein
AJBIFGEO_00225	CDS	795				Universal stress protein
AJBIFGEO_00226	CDS	1182	rip3		COG0517	Putative zinc metalloprotease Rip3
AJBIFGEO_00227	CDS	432	hrp1		COG0517	Hypoxic response protein 1
AJBIFGEO_00228	CDS	1167				putative protein
AJBIFGEO_00229	CDS	255				Putative uncharacterized protein
AJBIFGEO_00230	CDS	1125				putative protein
AJBIFGEO_00231	CDS	393			COG1371	putative protein archease
AJBIFGEO_00232	CDS	1422	rtcB	6.5.1.-	COG1690	RNA-splicing ligase RtcB
AJBIFGEO_00233	CDS	282				putative protein
AJBIFGEO_00234	CDS	486				putative protein
AJBIFGEO_00235	CDS	255				hypothetical protein
AJBIFGEO_00236	CDS	693	mprA			Response regulator MprA
AJBIFGEO_00237	CDS	1515	mprB	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase MprB
AJBIFGEO_00238	CDS	1395				hypothetical protein
AJBIFGEO_00239	CDS	546	moaB		COG0521	Molybdenum cofactor biosynthesis protein B
AJBIFGEO_00240	CDS	456	mscL		COG1970	Large-conductance mechanosensitive channel
	repeat_region	680				
AJBIFGEO_00241	CDS	258				hypothetical protein
AJBIFGEO_00242	CDS	1203		1.14.-.-		Putative cytochrome P450 141
AJBIFGEO_00243	CDS	165				hypothetical protein
AJBIFGEO_00244	CDS	978				PPE family protein PPE34
AJBIFGEO_00245	CDS	1131				hypothetical protein
AJBIFGEO_00246	CDS	282				hypothetical protein
AJBIFGEO_00247	CDS	492				hypothetical protein
AJBIFGEO_00248	CDS	477				hypothetical protein
AJBIFGEO_00249	CDS	426				hypothetical protein
AJBIFGEO_00250	CDS	129				hypothetical protein
AJBIFGEO_00251	CDS	378				hypothetical protein
AJBIFGEO_00252	CDS	588				hypothetical protein
AJBIFGEO_00253	CDS	183				hypothetical protein
AJBIFGEO_00254	CDS	366				hypothetical protein
AJBIFGEO_00255	CDS	948				hypothetical protein
AJBIFGEO_00256	CDS	372				hypothetical protein
AJBIFGEO_00257	CDS	129				hypothetical protein
AJBIFGEO_00258	CDS	285				hypothetical protein
AJBIFGEO_00259	CDS	201				hypothetical protein
AJBIFGEO_00260	CDS	180				hypothetical protein
AJBIFGEO_00261	CDS	327				hypothetical protein
AJBIFGEO_00262	CDS	180				hypothetical protein
AJBIFGEO_00263	CDS	102				hypothetical protein
AJBIFGEO_00264	CDS	159				hypothetical protein
AJBIFGEO_00265	CDS	732				hypothetical protein
AJBIFGEO_00266	CDS	1872				hypothetical protein
AJBIFGEO_00267	CDS	786				HTH-type transcriptional repressor
AJBIFGEO_00268	CDS	372				putative protein
AJBIFGEO_00269	CDS	273				hypothetical protein
AJBIFGEO_00270	CDS	744	fabG2_1	1.-.-.-		putative oxidoreductase
AJBIFGEO_00271	CDS	1740	irtB	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtB
AJBIFGEO_00272	CDS	2580	irtA	3.6.3.-	COG1132	Iron import ATP-binding/permease protein IrtA
AJBIFGEO_00273	tRNA	85				tRNA-Leu(tag)
AJBIFGEO_00274	CDS	192				hypothetical protein
AJBIFGEO_00275	CDS	1968				putative PPE family protein PPE42
AJBIFGEO_00276	CDS	1272				putative PPE family protein PPE29
AJBIFGEO_00277	CDS	1392				putative PPE family protein PPE33
AJBIFGEO_00278	CDS	1179				hypothetical protein
AJBIFGEO_00279	CDS	129				hypothetical protein
AJBIFGEO_00280	CDS	258				hypothetical protein
AJBIFGEO_00281	CDS	405				hypothetical protein
AJBIFGEO_00282	CDS	534				hypothetical protein
AJBIFGEO_00283	CDS	261				hypothetical protein
AJBIFGEO_00284	CDS	285				hypothetical protein
AJBIFGEO_00285	CDS	489				hypothetical protein
AJBIFGEO_00286	CDS	732				putative PPE family protein PPE36
AJBIFGEO_00287	CDS	297	lipY_1	3.1.1.3		Triacylglycerol lipase
AJBIFGEO_00288	CDS	258				hypothetical protein
AJBIFGEO_00289	CDS	255				hypothetical protein
AJBIFGEO_00290	CDS	435		3.1.-.-		Ribonuclease VapC37
AJBIFGEO_00291	CDS	834			COG4279	putative protein
AJBIFGEO_00292	CDS	3030				hypothetical protein
AJBIFGEO_00293	CDS	1653				hypothetical protein
AJBIFGEO_00294	CDS	1485				hypothetical protein
AJBIFGEO_00295	CDS	312				hypothetical protein
AJBIFGEO_00296	CDS	306				hypothetical protein
AJBIFGEO_00297	CDS	456				hypothetical protein
AJBIFGEO_00298	CDS	1506				hypothetical protein
AJBIFGEO_00299	CDS	1062		2.3.1.-	COG3424	Alpha-pyrone synthesis polyketide synthase-like Pks11
AJBIFGEO_00300	CDS	1311		1.14.-.-	COG2124	Putative cytochrome P450 139
AJBIFGEO_00301	CDS	1776	ettA_1		COG0488	Energy-dependent translational throttle protein EttA
AJBIFGEO_00302	CDS	1176				hypothetical protein
AJBIFGEO_00303	CDS	297	esxJ			ESAT-6-like protein EsxJ
AJBIFGEO_00304	CDS	300				PE family protein PE13
AJBIFGEO_00305	CDS	264				hypothetical protein
AJBIFGEO_00306	CDS	816				hypothetical protein
AJBIFGEO_00307	CDS	237				hypothetical protein
AJBIFGEO_00308	CDS	633				hypothetical protein
AJBIFGEO_00309	CDS	420				hypothetical protein
AJBIFGEO_00310	CDS	417	higB2_1		COG4683	Putative toxin HigB2
AJBIFGEO_00311	CDS	306	higA2_1			Putative antitoxin HigA2
AJBIFGEO_00312	CDS	288				hypothetical protein
AJBIFGEO_00313	CDS	351		3.1.-.-		Putative ribonuclease VapC45
AJBIFGEO_00314	CDS	720			COG2442	Putative antitoxin VapB45
AJBIFGEO_00315	CDS	1041				hypothetical protein
AJBIFGEO_00316	CDS	576				hypothetical protein
AJBIFGEO_00317	CDS	444				hypothetical protein
AJBIFGEO_00318	CDS	705				hypothetical protein
AJBIFGEO_00319	CDS	438				hypothetical protein
AJBIFGEO_00320	CDS	1245	lldD	1.1.-.-	COG1304	Putative L-lactate dehydrogenase
AJBIFGEO_00321	CDS	378				hypothetical protein
AJBIFGEO_00322	CDS	648				hypothetical protein
AJBIFGEO_00323	CDS	1236	thcD	1.18.1.-		Rhodocoxin reductase
AJBIFGEO_00324	CDS	1134			COG0574	putative protein
AJBIFGEO_00325	CDS	960				hypothetical protein
AJBIFGEO_00326	CDS	1461				hypothetical protein
AJBIFGEO_00327	CDS	2337		2.8.3.-	COG1804	putative CoA-transferase
AJBIFGEO_00328	CDS	861	ephD_1	1.-.-.-	COG1028	putative oxidoreductase EphD
AJBIFGEO_00329	CDS	756				hypothetical protein
AJBIFGEO_00330	CDS	723				hypothetical protein
AJBIFGEO_00331	CDS	1041	adhA	1.1.1.1	COG1064	putative alcohol dehydrogenase AdhA
AJBIFGEO_00332	CDS	306				hypothetical protein
AJBIFGEO_00333	CDS	582				hypothetical protein
AJBIFGEO_00334	CDS	1221	cwlM	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase CwlM
AJBIFGEO_00335	CDS	351	trxA		COG0526	Thioredoxin
AJBIFGEO_00336	CDS	1008	trxB	1.8.1.9	COG0492	Thioredoxin reductase
AJBIFGEO_00337	CDS	765	rsmA			Anti-sigma-M factor RsmA
AJBIFGEO_00338	CDS	591	sigM			ECF RNA polymerase sigma factor SigM
AJBIFGEO_00339	CDS	3555	mviN		COG0728	putative peptidoglycan biosynthesis protein MviN
AJBIFGEO_00340	CDS	2409				hypothetical protein
AJBIFGEO_00341	CDS	663	mutT4	3.6.1.-	COG0494	Putative mutator protein MutT4
AJBIFGEO_00342	CDS	1443	cca	2.7.7.72		CCA-adding enzyme
AJBIFGEO_00343	CDS	510				hypothetical protein
AJBIFGEO_00344	CDS	312	esxF			ESAT-6-like protein EsxF
AJBIFGEO_00345	CDS	291	esxE			ESAT-6-like protein EsxE
AJBIFGEO_00346	CDS	2541	cpnT			Outer membrane channel protein CpnT
AJBIFGEO_00347	CDS	531				Immunity factor for TNT
AJBIFGEO_00348	CDS	141				hypothetical protein
AJBIFGEO_00349	CDS	354				hypothetical protein
AJBIFGEO_00350	CDS	363	nmtR			HTH-type transcriptional regulator NmtR
AJBIFGEO_00351	CDS	213				hypothetical protein
AJBIFGEO_00352	CDS	336				PE family immunomodulator PE35
AJBIFGEO_00353	CDS	384				hypothetical protein
AJBIFGEO_00354	CDS	360				hypothetical protein
AJBIFGEO_00355	CDS	291		3.1.-.-		Putative ribonuclease VapC50
AJBIFGEO_00356	CDS	309				hypothetical protein
AJBIFGEO_00357	CDS	393				hypothetical protein
AJBIFGEO_00358	CDS	258				hypothetical protein
AJBIFGEO_00359	tRNA	90				tRNA-Ser(cga)
AJBIFGEO_00360	CDS	459	tadA_2	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
AJBIFGEO_00361	CDS	522				hypothetical protein
AJBIFGEO_00362	CDS	270				hypothetical protein
AJBIFGEO_00363	CDS	252				hypothetical protein
AJBIFGEO_00364	CDS	783	pfkB	2.7.1.11	COG1105	Putative ATP-dependent 6-phosphofructokinase isozyme 2
AJBIFGEO_00365	CDS	840			COG0589	Universal stress protein
AJBIFGEO_00366	CDS	1722	dosT	2.7.13.3	COG2203	Oxygen sensor histidine kinase response regulator DosT
AJBIFGEO_00367	CDS	885			COG0589	Universal stress protein
AJBIFGEO_00368	CDS	960			COG0053	putative cation efflux system protein
AJBIFGEO_00369	CDS	2916				hypothetical protein
AJBIFGEO_00370	CDS	384				hypothetical protein
AJBIFGEO_00371	CDS	165				hypothetical protein
AJBIFGEO_00372	CDS	264				hypothetical protein
AJBIFGEO_00373	CDS	219				hypothetical protein
AJBIFGEO_00374	CDS	168				hypothetical protein
AJBIFGEO_00375	CDS	915			COG0584	putative protein
AJBIFGEO_00376	CDS	1191		1.14.19.70		Mycocyclosin synthase
AJBIFGEO_00377	CDS	852				hypothetical protein
AJBIFGEO_00378	CDS	330				hypothetical protein
AJBIFGEO_00379	CDS	369			COG2149	putative protein
AJBIFGEO_00380	CDS	300				putative protein
AJBIFGEO_00381	CDS	528				hypothetical protein
AJBIFGEO_00382	CDS	369				hypothetical protein
AJBIFGEO_00383	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
AJBIFGEO_00384	CDS	1344	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
AJBIFGEO_00385	CDS	1083	fgd2	1.1.98.-	COG2141	F420-dependent hydroxymycolic acid dehydrogenase
AJBIFGEO_00386	CDS	606				hypothetical protein
AJBIFGEO_00387	CDS	456	ephB_1	3.3.2.10		Epoxide hydrolase B
AJBIFGEO_00388	CDS	435				hypothetical protein
AJBIFGEO_00389	CDS	606				hypothetical protein
AJBIFGEO_00390	CDS	1326		1.14.-.-	COG2124	Putative cytochrome P450 138
AJBIFGEO_00391	CDS	549	msrA	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
AJBIFGEO_00392	CDS	504				hypothetical protein
AJBIFGEO_00393	CDS	1023	auaH	1.1.1.394		Aurachin B dehydrogenase
AJBIFGEO_00394	CDS	306		1.-.-.-	COG1359	Putative monooxygenase
AJBIFGEO_00395	CDS	1500	lpdA_1	1.8.1.4		Dihydrolipoyl dehydrogenase
AJBIFGEO_00396	CDS	948				hypothetical protein
AJBIFGEO_00397	CDS	255			COG4423	Antitoxin VapB30
AJBIFGEO_00398	CDS	396		3.1.-.-	COG3742	Ribonuclease VapC30
AJBIFGEO_00399	CDS	741			COG0398	TVP38/TMEM64 family membrane protein
AJBIFGEO_00400	CDS	261	vapB5		COG4118	Putative antitoxin VapB5
AJBIFGEO_00401	CDS	408	vapC5_1	3.1.-.-	COG1487	Ribonuclease VapC5
AJBIFGEO_00402	CDS	1152			COG4398	putative protein
AJBIFGEO_00403	CDS	1728	recD	3.1.11.5	COG0507	RecBCD enzyme subunit RecD
AJBIFGEO_00404	CDS	3285	recB	3.1.11.5	COG1074	RecBCD enzyme subunit RecB
AJBIFGEO_00405	CDS	147	recC	3.1.11.5	COG1330	RecBCD enzyme subunit RecC
AJBIFGEO_00406	CDS	960				hypothetical protein
AJBIFGEO_00407	CDS	1107	sbnA	2.5.1.140		N-(2-amino-2-carboxyethyl)-L-glutamate synthase
AJBIFGEO_00408	tRNA	76				tRNA-Pro(cgg)
AJBIFGEO_00409	CDS	1431		1.14.-.-		Putative cytochrome P450 137
AJBIFGEO_00410	CDS	333				hypothetical protein
AJBIFGEO_00411	CDS	369	rsfB		COG1366	Anti-sigma-F factor antagonist RsfB
AJBIFGEO_00412	CDS	465	yqeY		COG1610	putative protein YqeY
AJBIFGEO_00413	CDS	324				hypothetical protein
AJBIFGEO_00414	CDS	399				hypothetical protein
AJBIFGEO_00415	CDS	1413	argH	4.3.2.1	COG0165	Argininosuccinate lyase
AJBIFGEO_00416	CDS	1197	argG	6.3.4.5	COG0137	Argininosuccinate synthase
AJBIFGEO_00417	CDS	513	argR		COG1438	Arginine repressor
AJBIFGEO_00418	CDS	924	argF	2.1.3.3	COG0078	Ornithine carbamoyltransferase
AJBIFGEO_00419	CDS	1203	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
AJBIFGEO_00420	CDS	885	argB	2.7.2.8	COG0548	Acetylglutamate kinase
AJBIFGEO_00421	CDS	1215	argJ		COG1364	Arginine biosynthesis bifunctional protein ArgJ
AJBIFGEO_00422	CDS	1059	argC	1.2.1.38	COG0002	N-acetyl-gamma-glutamyl-phosphate reductase
AJBIFGEO_00423	CDS	843				hypothetical protein
