locus_tag	ftype	length_bp	gene	EC_number	COG	product
PAKPHHPE_00039	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
PAKPHHPE_00040	CDS	246				hypothetical protein
PAKPHHPE_00041	CDS	651				hypothetical protein
PAKPHHPE_00042	CDS	600				hypothetical protein
PAKPHHPE_00043	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
PAKPHHPE_00044	CDS	741	yebC		COG0217	putative transcriptional regulatory protein YebC
PAKPHHPE_00045	CDS	453	nudB	3.6.1.67	COG0494	Dihydroneopterin triphosphate diphosphatase
PAKPHHPE_00046	CDS	1773	aspS	6.1.1.12	COG0173	Aspartate--tRNA ligase
PAKPHHPE_00047	CDS	567	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
PAKPHHPE_00048	CDS	819				hypothetical protein
PAKPHHPE_00049	CDS	396	yecN		COG3788	Inner membrane protein YecN
PAKPHHPE_00050	CDS	744	cmoA	2.1.3.-	COG0500	Carboxy-S-adenosyl-L-methionine synthase
PAKPHHPE_00051	CDS	972	cmoB	2.5.1.-	COG0500	tRNA U34 carboxymethyltransferase
PAKPHHPE_00052	CDS	747	cutC_1		COG3142	Copper homeostasis protein CutC
PAKPHHPE_00053	CDS	570	yecM		COG3102	Protein YecM
PAKPHHPE_00054	CDS	1734	argS	6.1.1.19	COG0018	Arginine--tRNA ligase
PAKPHHPE_00055	CDS	1872	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
PAKPHHPE_00056	CDS	1140	yesR	3.2.1.172	COG4225	Unsaturated rhamnogalacturonyl hydrolase YesR
PAKPHHPE_00057	CDS	393	flhE			Flagellar protein FlhE
PAKPHHPE_00058	CDS	2079	flhA		COG1298	Flagellar biosynthesis protein FlhA
PAKPHHPE_00059	CDS	1152	flhB		COG1377	Flagellar biosynthetic protein FlhB
PAKPHHPE_00060	CDS	648	cheZ	3.1.3.-	COG3143	Protein phosphatase CheZ
PAKPHHPE_00061	CDS	390	cheY		COG0784	Chemotaxis protein CheY
PAKPHHPE_00062	CDS	1050	cheB	3.1.1.61	COG2201	Protein-glutamate methylesterase/protein-glutamine glutaminase
PAKPHHPE_00063	CDS	867	cheR	2.1.1.80		Chemotaxis protein methyltransferase
PAKPHHPE_00064	CDS	1662	tar		COG0840	Methyl-accepting chemotaxis protein II
PAKPHHPE_00065	CDS	504	cheW		COG0835	Chemotaxis protein CheW
PAKPHHPE_00066	CDS	2016	cheA	2.7.13.3	COG0643	Chemotaxis protein CheA
PAKPHHPE_00067	CDS	930	motB		COG1360	Motility protein B
PAKPHHPE_00068	CDS	888	motA		COG1291	Motility protein A
PAKPHHPE_00069	CDS	579	flhC			Flagellar transcriptional regulator FlhC
PAKPHHPE_00070	CDS	342	flhD			Flagellar transcriptional regulator FlhD
PAKPHHPE_00071	CDS	429	uspC		COG0589	Universal stress protein C
PAKPHHPE_00072	CDS	1422	otsA	2.4.1.15	COG0380	Trehalose-6-phosphate synthase
PAKPHHPE_00073	CDS	903	otsB	3.1.3.12	COG1877	Trehalose-6-phosphate phosphatase
PAKPHHPE_00074	CDS	537	yajL_1	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
PAKPHHPE_00075	CDS	504	ftnA_1	1.16.3.2	COG1528	Bacterial non-heme ferritin
PAKPHHPE_00076	CDS	639				hypothetical protein
PAKPHHPE_00077	CDS	336				hypothetical protein
PAKPHHPE_00078	CDS	498	ftnA_2	1.16.3.2	COG1528	Bacterial non-heme ferritin
PAKPHHPE_00079	CDS	240				hypothetical protein
PAKPHHPE_00080	CDS	1269	tyrP		COG0814	Tyrosine-specific transport protein
PAKPHHPE_00081	CDS	666				hypothetical protein
PAKPHHPE_00082	CDS	192				hypothetical protein
PAKPHHPE_00083	CDS	1434				hypothetical protein
PAKPHHPE_00084	tRNA	87				tRNA-Leu(taa)
PAKPHHPE_00085	tRNA	74				tRNA-Cys(gca)
PAKPHHPE_00086	tRNA	76				tRNA-Gly(gcc)
PAKPHHPE_00087	CDS	549	pgsA	2.7.8.5	COG0558	CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase
PAKPHHPE_00088	CDS	1833	uvrC		COG0322	UvrABC system protein C
PAKPHHPE_00089	CDS	657	uvrY		COG2197	Response regulator UvrY
PAKPHHPE_00090	CDS	225				hypothetical protein
PAKPHHPE_00091	CDS	723	sdiA		COG2771	Regulatory protein SdiA
PAKPHHPE_00092	CDS	753	artM_1		COG1126	Arginine transport ATP-binding protein ArtM
PAKPHHPE_00093	CDS	669	yecS_1		COG0765	L-cystine transport system permease protein YecS
PAKPHHPE_00094	CDS	987	dcyD	4.4.1.15	COG2515	D-cysteine desulfhydrase
PAKPHHPE_00095	CDS	801	fliY_1		COG0834	L-cystine-binding protein FliY
PAKPHHPE_00096	CDS	552	fliZ			Regulator of sigma S factor FliZ
PAKPHHPE_00097	CDS	720	fliA		COG1191	RNA polymerase sigma factor FliA
PAKPHHPE_00098	tRNA	77				tRNA-Arg(acg)
PAKPHHPE_00099	CDS	105				hypothetical protein
PAKPHHPE_00100	rRNA	809				23S ribosomal RNA (partial)
PAKPHHPE_00101	CDS	159				hypothetical protein
PAKPHHPE_00102	CDS	405				hypothetical protein
PAKPHHPE_00103	CDS	237				hypothetical protein
PAKPHHPE_00104	CDS	321				hypothetical protein
PAKPHHPE_00105	CDS	978				hypothetical protein
PAKPHHPE_00106	CDS	750	dnaC_1		COG1484	DNA replication protein DnaC
PAKPHHPE_00107	CDS	348				hypothetical protein
PAKPHHPE_00108	CDS	1086	fliC		COG1344	Flagellin
PAKPHHPE_00109	CDS	1206				hypothetical protein
PAKPHHPE_00110	CDS	159				hypothetical protein
PAKPHHPE_00111	CDS	411				hypothetical protein
PAKPHHPE_00112	CDS	240				hypothetical protein
PAKPHHPE_00113	CDS	321				hypothetical protein
PAKPHHPE_00114	CDS	978				hypothetical protein
PAKPHHPE_00115	CDS	750	dnaC_2		COG1484	DNA replication protein DnaC
PAKPHHPE_00116	CDS	348				hypothetical protein
PAKPHHPE_00117	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
PAKPHHPE_00118	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
PAKPHHPE_00119	CDS	615	yigZ		COG1739	IMPACT family member YigZ
PAKPHHPE_00120	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
PAKPHHPE_00121	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
PAKPHHPE_00122	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase
PAKPHHPE_00123	CDS	1836	assT_1	2.8.2.22		Arylsulfate sulfotransferase AssT
PAKPHHPE_00124	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
PAKPHHPE_00125	CDS	1479	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
PAKPHHPE_00126	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
PAKPHHPE_00127	CDS	795	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
PAKPHHPE_00128	CDS	780	tatC		COG0805	Sec-independent protein translocase protein TatC
PAKPHHPE_00129	CDS	549	tatB		COG1826	Sec-independent protein translocase protein TatB
PAKPHHPE_00130	CDS	255	tatA		COG1826	Sec-independent protein translocase protein TatA
PAKPHHPE_00131	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
PAKPHHPE_00132	CDS	606	ubiJ_1		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
PAKPHHPE_00133	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PAKPHHPE_00134	CDS	1431				hypothetical protein
PAKPHHPE_00135	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
PAKPHHPE_00136	CDS	813				hypothetical protein
PAKPHHPE_00137	CDS	1296	chuR_1	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
PAKPHHPE_00138	CDS	2265	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
PAKPHHPE_00139	CDS	954	metR			HTH-type transcriptional regulator MetR
PAKPHHPE_00140	CDS	900	bioP		COG0697	Biotin transporter
PAKPHHPE_00141	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
PAKPHHPE_00142	CDS	1017	pldB	3.1.1.5	COG2267	Lysophospholipase L2
PAKPHHPE_00143	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
PAKPHHPE_00144	CDS	621	rhtC_1		COG1280	Threonine efflux protein
PAKPHHPE_00145	CDS	1848	recQ	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
PAKPHHPE_00146	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
PAKPHHPE_00147	CDS	468				hypothetical protein
PAKPHHPE_00148	CDS	885	rarD_1		COG2962	Protein RarD
PAKPHHPE_00149	CDS	459	yigG			Inner membrane protein YigG
PAKPHHPE_00150	CDS	381				hypothetical protein
PAKPHHPE_00151	CDS	951	corA		COG0598	Magnesium transport protein CorA
PAKPHHPE_00152	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
PAKPHHPE_00153	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
PAKPHHPE_00154	CDS	903	xerC		COG4973	Tyrosine recombinase XerC
PAKPHHPE_00155	CDS	708				hypothetical protein
PAKPHHPE_00156	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
PAKPHHPE_00157	CDS	204				hypothetical protein
PAKPHHPE_00158	CDS	252				hypothetical protein
PAKPHHPE_00159	CDS	93				hypothetical protein
PAKPHHPE_00160	CDS	390				hypothetical protein
PAKPHHPE_00161	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
PAKPHHPE_00162	CDS	363				hypothetical protein
PAKPHHPE_00163	CDS	516				hypothetical protein
PAKPHHPE_00164	CDS	354				hypothetical protein
PAKPHHPE_00165	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
PAKPHHPE_00166	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
PAKPHHPE_00167	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
PAKPHHPE_00168	CDS	1170	hemX		COG2959	Protein HemX
PAKPHHPE_00169	CDS	1200	hemY		COG3071	Protein HemY
PAKPHHPE_00170	tRNA	77				tRNA-Pro(tgg)
PAKPHHPE_00171	tRNA	87				tRNA-Leu(cag)
PAKPHHPE_00172	tRNA	76				tRNA-His(gtg)
PAKPHHPE_00173	tRNA	77				tRNA-Arg(ccg)
PAKPHHPE_00174	CDS	1386	yifK		COG1113	putative transport protein YifK
PAKPHHPE_00175	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
PAKPHHPE_00176	CDS	1359	wzyE			putative ECA polymerase
PAKPHHPE_00177	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
PAKPHHPE_00178	CDS	1251	wzxE		COG2244	Lipid III flippase
PAKPHHPE_00179	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
PAKPHHPE_00180	CDS	678	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
PAKPHHPE_00181	CDS	225				hypothetical protein
PAKPHHPE_00182	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
PAKPHHPE_00183	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
PAKPHHPE_00184	CDS	1086	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
PAKPHHPE_00185	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
PAKPHHPE_00186	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
PAKPHHPE_00187	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
PAKPHHPE_00188	CDS	330	trxA		COG0526	Thioredoxin 1
PAKPHHPE_00189	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
PAKPHHPE_00190	CDS	1482	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
PAKPHHPE_00191	CDS	2025	rep	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
PAKPHHPE_00192	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
PAKPHHPE_00193	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
PAKPHHPE_00194	CDS	888	gltC_1			HTH-type transcriptional regulator GltC
PAKPHHPE_00195	CDS	342				hypothetical protein
PAKPHHPE_00196	CDS	318				hypothetical protein
PAKPHHPE_00197	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
PAKPHHPE_00198	CDS	1851	ilvD_1	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
PAKPHHPE_00199	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
PAKPHHPE_00200	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
PAKPHHPE_00201	CDS	1647	ilvG	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
PAKPHHPE_00202	CDS	1521	comM		COG0606	Competence protein ComM
PAKPHHPE_00203	CDS	339				hypothetical protein
PAKPHHPE_00204	CDS	837	hdfR_1			HTH-type transcriptional regulator HdfR
PAKPHHPE_00205	tRNA	76				tRNA-Trp(cca)
PAKPHHPE_00206	tRNA	77				tRNA-Asp(gtc)
PAKPHHPE_00207	rRNA	111				5S ribosomal RNA
PAKPHHPE_00208	CDS	291				hypothetical protein
PAKPHHPE_00209	CDS	651				hypothetical protein
PAKPHHPE_00210	CDS	1467				hypothetical protein
PAKPHHPE_00211	CDS	5844				hypothetical protein
PAKPHHPE_00212	CDS	5580				hypothetical protein
PAKPHHPE_00213	CDS	960				hypothetical protein
PAKPHHPE_00214	CDS	2193				hypothetical protein
PAKPHHPE_00215	CDS	222	yfgJ			putative protein YfgJ
PAKPHHPE_00216	CDS	1473	der		COG1160	GTPase Der
PAKPHHPE_00217	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
PAKPHHPE_00218	CDS	621				hypothetical protein
PAKPHHPE_00219	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
PAKPHHPE_00220	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
PAKPHHPE_00221	CDS	1005	rodZ		COG1426	Cytoskeleton protein RodZ
PAKPHHPE_00222	CDS	1167	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
PAKPHHPE_00223	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
PAKPHHPE_00224	CDS	864	napF_1			Ferredoxin-type protein NapF
PAKPHHPE_00225	CDS	810	dmsC_1		COG3302	Anaerobic dimethyl sulfoxide reductase chain C
PAKPHHPE_00226	CDS	630	dmsB_1		COG0437	Anaerobic dimethyl sulfoxide reductase chain B
PAKPHHPE_00227	CDS	2379	dmsA_1	1.8.5.3	COG0243	Dimethyl sulfoxide reductase DmsA
PAKPHHPE_00228	CDS	2316	pbpC		COG4953	Penicillin-binding protein 1C
PAKPHHPE_00229	CDS	4935	yfhM		COG2373	Alpha-2-macroglobulin
PAKPHHPE_00230	CDS	843	sseA_1	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
PAKPHHPE_00231	CDS	225				hypothetical protein
PAKPHHPE_00232	CDS	669				hypothetical protein
PAKPHHPE_00233	CDS	777				hypothetical protein
PAKPHHPE_00234	CDS	180				hypothetical protein
PAKPHHPE_00235	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
PAKPHHPE_00236	CDS	201	iscX		COG2975	Protein IscX
PAKPHHPE_00237	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
PAKPHHPE_00238	CDS	1851	hscA		COG0443	Chaperone protein HscA
PAKPHHPE_00239	CDS	516	hscB		COG1076	Co-chaperone protein HscB
PAKPHHPE_00240	CDS	324	iscA		COG0316	Iron-binding protein IscA
PAKPHHPE_00241	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
PAKPHHPE_00242	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
PAKPHHPE_00243	CDS	495	iscR		COG1959	HTH-type transcriptional regulator IscR
PAKPHHPE_00244	CDS	732	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
PAKPHHPE_00245	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
PAKPHHPE_00246	CDS	879			COG1073	putative protein
PAKPHHPE_00247	CDS	1044	asrA		COG1145	Anaerobic sulfite reductase subunit A
PAKPHHPE_00248	CDS	819	asrB		COG0543	Anaerobic sulfite reductase subunit B
PAKPHHPE_00249	CDS	1014	asrC	1.8.1.-	COG2221	Anaerobic sulfite reductase subunit C
PAKPHHPE_00250	CDS	987				hypothetical protein
PAKPHHPE_00251	CDS	639				hypothetical protein
PAKPHHPE_00252	CDS	1278				hypothetical protein
PAKPHHPE_00253	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
PAKPHHPE_00254	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
PAKPHHPE_00255	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
PAKPHHPE_00256	CDS	1545	cadC		COG3710	Transcriptional activator CadC
PAKPHHPE_00257	CDS	1332	cadB		COG0531	putative cadaverine/lysine antiporter
PAKPHHPE_00258	CDS	2145	cadA	4.1.1.18	COG1982	Inducible lysine decarboxylase
PAKPHHPE_00259	CDS	1461	dtpC		COG3104	Dipeptide and tripeptide permease C
PAKPHHPE_00260	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
PAKPHHPE_00261	CDS	1338	qseF		COG2204	Transcriptional regulatory protein QseF
PAKPHHPE_00262	CDS	765	qseG			Quorum-sensing regulator protein G
PAKPHHPE_00263	CDS	1386	qseE	2.7.13.3		Sensor histidine kinase QseE
PAKPHHPE_00264	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
PAKPHHPE_00265	CDS	1545	mltF_1	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
PAKPHHPE_00266	CDS	519	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
PAKPHHPE_00267	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
PAKPHHPE_00268	CDS	1362				PTS system EIIBC component
PAKPHHPE_00269	CDS	894	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
PAKPHHPE_00270	CDS	849	murR		COG1737	HTH-type transcriptional regulator MurR
PAKPHHPE_00271	CDS	918	panE_1	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
PAKPHHPE_00272	CDS	1197				L-lactate transporter
PAKPHHPE_00273	CDS	927	hdfR_2			HTH-type transcriptional regulator HdfR
PAKPHHPE_00274	CDS	261	yfhL		COG1145	Ferredoxin YfhL
PAKPHHPE_00275	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
PAKPHHPE_00276	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
PAKPHHPE_00277	CDS	729	recO		COG1381	DNA repair protein RecO
PAKPHHPE_00278	CDS	906	era		COG1159	GTPase Era
PAKPHHPE_00279	CDS	738	rnc	3.1.26.3	COG0571	Ribonuclease 3
PAKPHHPE_00280	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
PAKPHHPE_00281	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
PAKPHHPE_00282	CDS	1470				hypothetical protein
PAKPHHPE_00283	CDS	474	sarA			Salmonella anti-inflammatory response activator
PAKPHHPE_00284	CDS	186				hypothetical protein
PAKPHHPE_00285	CDS	705	lldR_1		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
PAKPHHPE_00286	CDS	1428	hsrA			putative transport protein HsrA
PAKPHHPE_00287	CDS	990	rbsR		COG1609	Ribose operon repressor
PAKPHHPE_00288	CDS	930	rbsK_1	2.7.1.15	COG0524	Ribokinase
PAKPHHPE_00289	CDS	891	rbsB		COG1879	Ribose import binding protein RbsB
PAKPHHPE_00290	CDS	966	rbsC		COG1172	Ribose import permease protein RbsC
PAKPHHPE_00291	CDS	1506	rbsA	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
PAKPHHPE_00292	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
PAKPHHPE_00293	CDS	1869	kup			Low affinity potassium transport system protein kup
PAKPHHPE_00294	CDS	1497	ravA	3.6.3.-	COG0714	ATPase RavA
PAKPHHPE_00295	CDS	1452	viaA		COG2425	Protein ViaA
PAKPHHPE_00296	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
PAKPHHPE_00297	CDS	459	asnC		COG1522	Regulatory protein AsnC
PAKPHHPE_00298	CDS	444	mioC		COG0716	Protein MioC
PAKPHHPE_00299	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
PAKPHHPE_00300	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
PAKPHHPE_00301	CDS	381	atpI		COG3312	ATP synthase protein I
PAKPHHPE_00302	CDS	816	atpB		COG0356	ATP synthase subunit a
PAKPHHPE_00303	CDS	240	atpE		COG0636	ATP synthase subunit c
PAKPHHPE_00304	CDS	471	atpF		COG0711	ATP synthase subunit b
PAKPHHPE_00305	CDS	534	atpH		COG0712	ATP synthase subunit delta
PAKPHHPE_00306	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
PAKPHHPE_00307	CDS	864	atpG		COG0224	ATP synthase gamma chain
PAKPHHPE_00308	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
PAKPHHPE_00309	CDS	420	atpC		COG0355	ATP synthase epsilon chain
PAKPHHPE_00310	CDS	699				hypothetical protein
PAKPHHPE_00311	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
PAKPHHPE_00312	CDS	1830	glmS_1	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
PAKPHHPE_00313	CDS	1791	sgrR_1		COG4533	HTH-type transcriptional regulator SgrR
PAKPHHPE_00314	CDS	819	sdhL	1.1.1.25	COG0169	Shikimate dehydrogenase-like protein
PAKPHHPE_00315	CDS	1374	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
PAKPHHPE_00316	CDS	102				hypothetical protein
PAKPHHPE_00317	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
PAKPHHPE_00318	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
PAKPHHPE_00319	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
PAKPHHPE_00320	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
PAKPHHPE_00321	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
PAKPHHPE_00322	CDS	648	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
PAKPHHPE_00323	CDS	1338	adeP		COG2252	Adenine permease AdeP
PAKPHHPE_00324	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
PAKPHHPE_00325	CDS	756				hypothetical protein
PAKPHHPE_00326	CDS	960	yidZ_1			HTH-type transcriptional regulator YidZ
PAKPHHPE_00327	CDS	1188	mdtL			Multidrug resistance protein MdtL
PAKPHHPE_00328	CDS	162				hypothetical protein
PAKPHHPE_00329	CDS	936				hypothetical protein
PAKPHHPE_00330	CDS	963				hypothetical protein
PAKPHHPE_00331	CDS	708	intA_1		COG0582	Prophage integrase IntA
PAKPHHPE_00332	CDS	495	intA_2		COG0582	Prophage integrase IntA
PAKPHHPE_00333	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
PAKPHHPE_00334	CDS	1647	yidC			Membrane protein insertase YidC
PAKPHHPE_00335	CDS	198				hypothetical protein
